EventId,EventTemplate,Occurrences
E97,"('<*>', '<*>', 'Detect', '<*>', '<*>', '<*>', '<*>')",1
E98,"('<*>', '|', 'Completed', '<*>', '<*>', '<*>', '<*>')",1
E99,"('pci', '<*>', '<*>', '<*>', 'enabling', 'Extended', 'Tags')",30
E100,"('pci_bus', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",13
E101,"('RPC:', '<*>', '<*>', '<*>', 'socket', '<*>', '<*>')",1
E102,"('Reached', '<*>', '<*>', '<*>', 'Local', '<*>', '<*>')",1
E103,"('[RepositoryStatusMonitor]', '<*>', '<*>', '<*>', 'Checking', '<*>', '<*>')",4
E104,"('TSS:', '<*>', '<*>', '<*>', 'in', '<*>', '<*>')",3
E105,"('input:', 'Power', 'Button', '<*>', '/devices/LNXSYSTM:', '<*>', '<*>')",1
E106,"('<*>', 'Copyright(c)', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E107,"('Copyright', '(c)', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E108,"('Starting', 'Cleaning', 'Up', '<*>', 'Shutting', '<*>', '<*>')",1
E109,"('Finished', 'Cleaning', 'Up', '<*>', 'Shutting', '<*>', '<*>')",1
E110,"('Starting', 'Simple', 'Network', '<*>', 'Protocol', '<*>', '<*>')",1
E111,"('Started', 'Simple', 'Network', '<*>', 'Protocol', '<*>', '<*>')",1
E112,"('Starting', 'Virtual', 'Machine', '<*>', 'Container', '<*>', '<*>')",1
E113,"('Application', 'started.', 'Press', '<*>', 'to', '<*>', '<*>')",2
E114,"('cmseq', '|', 'CMsequencer', '<*>', 'processes', '<*>', '<*>')",1
E115,"('Socket:', 'connect', 'operation', '<*>', 'with', '<*>', '<*>')",2
E116,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Host', 'Controller')",4
E117,"('<*>', '<*>', '<*>', '<*>', '<*>', 'slot:', '<*>')",5
E118,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Drivers', '<*>')",5
E119,"('<*>', '<*>', 'Static', '<*>', 'Nodes', '<*>', '<*>')",6
E120,"('<*>', '<*>', 'RohdeSchwarz.InstallationServiceContracts.EnvironmentHelper', '<*>', 'Running', '<*>', '<*>')",1
E121,"('<*>', '<*>', '<*>', '<*>', ']', '<*>', '<*>')",2
E122,"('BTRFS', 'info', '(device', 'sda2):', '<*>', '<*>', '<*>')",2
E123,"('Starting', 'Xserver', 'startup', 'with', '<*>', '<*>', '<*>')",2
E124,"('Started', 'Xserver', 'startup', 'with', '<*>', '<*>', '<*>')",2
E125,"('Stopped', 'Xserver', 'startup', 'with', '<*>', '<*>', '<*>')",1
E126,"('Waiting', 'for', '(any)', 'signal', '<*>', '<*>', '<*>')",5
E127,"('Condition', 'check', 'resulted', '<*>', '/sysroot', 'being', 'skipped.')",1
E128,"('[drm:', 'dc_link_detect_helper', '[amdgpu]]', '<*>', 'No', 'EDID', 'read.')",1
E129,"('Interface', 'docker0.IPv4', 'no', '<*>', 'relevant', 'for', 'mDNS.')",1
E130,"('at', 'System.Threading.ExecutionContext.RunInternal(ExecutionContext', 'executionContext,', '<*>', 'callback,', 'Object', 'state)')",1
E131,"('<*>', '<*>', 'D-Bus', '<*>', 'Message', 'Bus', '<*>')",9
E132,"('<*>', '<*>', 'RPC', '<*>', 'at', 'tcp:', '<*>')",9
E133,"('<*>', '<*>', '<*>', 'Check', '<*>', '<*>', '<*>')",1
E134,"('<*>', 'Remount', '<*>', 'and', '<*>', '<*>', '<*>')",3
E135,"('<*>', ']', '<*>', 'Callysto', '<*>', '<*>', '<*>')",1
E136,"('<*>', 'LD', '<*>', 'done', '<*>', '<*>', '<*>')",3
E137,"('<*>', '|', '<*>', '<*>', '<*>', '<*>', '<*>')",3
E138,"('[drm]', 'add', 'ip', 'block', 'number', '<*>', '<*>')",9
E139,"('rsmic', '<*>', '<*>', 'MIC', 'device', '<*>', 'connected')",9
E140,"('pci_set_drvdata', 'private_data:', '<*>', 'pci_data:', '<*>', 'dma_data', '<*>')",3
E141,"('<*>', '<*>', '<*>', 'caller=node_exporter.go:', '<*>', 'level=info', '<*>')",12
E142,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Rotate', 'logs...')",34
E143,"('<*>', '<*>', '<*>', '<*>', '<*>', 'Launching', 'nmon...')",34
E144,"('<*>', '<*>', '<*>', '<*>', 'carrier:', 'link', '<*>')",7
E145,"('<*>', '<*>', '<*>', '<*>', '""Undefined', 'header;$QSUPPORTED:', '<*>')",7
E146,"('<*>', '<*>', '<*>', '<*>', 'command', ""'$QSUPPORTED:"", '<*>')",7
E147,"('>', 'Warning:', 'Could', '<*>', 'resolve', 'keysym', 'XF86EmojiPicker')",2
E148,"('elfutils', 'disabled,', 'parsing', '<*>', 'objects', '<*>', 'supported')",2
E149,"('<*>', 'slice', 'User', 'Slice', 'of', 'UID', '<*>')",12
E150,"('pam_unix(su:', 'session):', 'session', 'closed', 'for', 'user', 'xuser')",1
E151,"('<*>', '<*>', '<*>', 'Created', 'slice', 'Slice', '<*>')",3
E152,"('<*>', '<*>', '<*>', 'starter:', 'Waiting', 'for', '<*>')",1
E153,"('<*>', '<*>', '<*>', 'starter:', 'Primary', 'broker', '<*>')",1
E154,"('[', 'OK', ']', '<*>', '<*>', '<*>', '<*>')",9
E155,"('[', 'OK', ']', 'Started', 'User', 'Login', 'Management.')",1
E156,"('Get', 'video', 'meta', 'info', 'for', '<*>', '<*>')",2
E157,"('ERROR:', 'Cannot', 'create', 'file', '<*>', 'Permission', 'denied')",6
E158,"('The', 'termination', 'request', 'handler', 'has', 'been', 'registered.')",22
E159,"('NETFILTER_CFG', '<*>', '<*>', '<*>', '<*>', '<*>', 'comm=""iptables""')",104
E160,"('config_generic_gigabit_channel_link():', 'clear', 'on', '<*>', 'with', 'value', '<*>')",88
E161,"('[RsInstallationService.MAIN]', 'INFO', '<*>', '-', '<*>', '<*>', '<*>')",8
E162,"('[info', ']', '<*>', '<*>', '<*>', '<*>', '<*>')",5
E163,"('<*>', '<*>', '<*>', 'SCardConnect()', 'Error', 'Reader', 'Exclusive')",15
E164,"('OperationMode:', '""Primary""', 'Master', 'address:', '<*>', 'slaves:', '{}')",4
E165,"('CLOSE', '<*>', 'driver', 'by', '<*>', '<*>', '<*>')",8
E166,"('error:', 'kex_exchange_identification:', 'Connection', 'closed', 'by', 'remote', 'host')",1741
E167,"('<*>', 'status', 'interrupt', 'detected', '(base', '<*>', '<*>')",8
E168,"('TSS:', 'Created', 'AU', 'wrapper', 'on', 'slot', '<*>')",6
E169,"('in', 'hardware_element_from_pdef', 'count', '=', '<*>', '>>', 'OK')",102
E170,"('supported_tests_from_offers', 'has', 'test', 'Result', 'Name', '<*>', '<*>')",2276
E171,"('Dispatching', 'RPC', 'RatRqm1:', ':', '<*>', ':', 'message_received')",86
E172,"('<*>', '/usr/local/sbin:', '/usr/local/bin:', '/usr/sbin:', '/usr/bin:', '/sbin:', '/bin')",9
E173,"('<*>', '<*>', 'Remote', 'access', 'from', 'client', '<*>')",826
E174,"('PIAS:', '<*>', '>>', 'DIAG:', 'PROD:', 'SEL', '<*>')",155
E175,"('Invalid', 'user', '<*>', 'from', '<*>', 'port', '<*>')",49
E176,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'done')",99
E177,"('<*>', 'R&S', 'SWPL', 'QUERY', 'ID', '<*>', '""DEFAULT""]')",5
E178,"('PIAS:', '<*>', '<<', 'Rohde&Schwarz,', '<*>', '<*>', '<*>')",130
E179,"('PIAS:', '<*>', '>>', 'DIAG:', 'UPD:', 'TRAN:', 'VERS?\\n')",129
E180,"('Attempting', 'to', 'stop', 'CMXmars', 'Server', 'version', '<*>')",21
E181,"('CMXmars', 'server', 'has', 'been', 'requested', 'to', 'terminate.')",21
E182,"('pam_unix(sshd:', 'session):', 'session', 'closed', 'for', 'user', 'root')",37
E183,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'floating', 'point', ""registers'"")",1
E184,"('<*>', '<*>', '<*>', '<*>', '<*>', 'nr_cpu_ids:', '<*>', 'nr_node_ids:', '<*>')",1
E185,"('<*>', '<*>', '<*>', '<*>', 'Speculation', 'Barrier', 'for', 'firmware', 'calls')",1
E186,"('<*>', '<*>', '<*>', '<*>', '[PCI0]', '(domain', '<*>', '[bus', '<*>')",1
E187,"('<*>', '<*>', '<*>', '<*>', '<*>', 'pipe', '<*>', 'q', '<*>')",1
E188,"('<*>', '<*>', '<*>', '<*>', 'encode', 'initialized', 'successfully(under', 'SPG', 'Mode).')",1
E189,"('<*>', '<*>', '<*>', '<*>', 'such', 'file', 'or', 'directory:', '<*>')",1
E190,"('<*>', '<*>', '<*>', '<*>', 'paths', 'to', 'environment', 'variable', 'PYTHONPATH...')",1
E191,"('<*>', '<*>', '<*>', '<*>', 'Service', 'org_name=com.rohde_schwarz.mrt.Callysto', 'object_path=/com/rohde_schwarz/mrt/Callysto', '<*>', '<*>')",1
E192,"('<*>', '<*>', '<*>', '<*>', 'Completed', 'EnableRepository', '<*>', 'State', ""'Success'"")",1
E193,"('<*>', '<*>', '<*>', '<*>', '<*>', 'please', 'fix', 'the', 'application')",1
E194,"('<*>', '<*>', '<*>', '<*>', 'Use', 'Ctrl+C', 'to', 'shut', 'down.')",1
E195,"('efi:', 'ACPI', '<*>', '<*>', '<*>', 'SMBIOS', '<*>', '<*>', '<*>')",1
E196,"('<*>', 'apic_id', '<*>', '<*>', '<*>', 'address', '<*>', 'GSI', '<*>')",2
E197,"('[RepositoryStatusMonitor]', 'INFO', '<*>', '<*>', '<*>', 'Develop,', '<*>', 'Internal,', 'Official')",2
E198,"('<*>', '>>', '<*>', '<*>', '<*>', 'QUERY', '<*>', '<*>', '""DEFAULT""]')",2
E199,"('<*>', '<*>', '<*>', '<*>', 'max_cycles:', '<*>', 'max_idle_ns:', '<*>', 'ns')",5
E200,"('<*>', '<*>', '<*>', '<*>', 'No', '<*>', 'file', '<*>', 'directory')",5
E201,"('Built', '<*>', 'zonelists,', 'mobility', 'grouping', 'on.', 'Total', 'pages:', '<*>')",1
E202,"('Welcome', '<*>', 'Poky', '(Yocto', 'Project', 'Reference', 'Distro)', '<*>', '<*>')",1
E203,"('System.InvalidOperationException:', '<*>', 'was', 'modified;', 'enumeration', 'operation', 'may', 'not', '<*>')",1
E204,"('<*>', '<*>', '<*>', 'AML', 'tables', '<*>', 'acquired', '<*>', '<*>')",1
E205,"('<*>', '<*>', '<*>', 'GPEs', 'in', '<*>', '<*>', '<*>', '<*>')",1
E206,"('<*>', '<*>', '<*>', '<*>', 'vgaarb:', '<*>', 'as', '<*>', '<*>')",1
E207,"('<*>', '<*>', '<*>', '0xffffff', 'max_cycles:', '<*>', 'max_idle_ns:', '<*>', '<*>')",1
E208,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'Attached', '<*>', '<*>')",1
E209,"('<*>', '<*>', '<*>', '<*>', 'amdgpu:', '<*>', 'VBIOS', '<*>', '<*>')",1
E210,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'values', '<*>', '<*>')",1
E211,"('<*>', '<*>', '<*>', 'Listening', '<*>', '<*>', 'Database', '<*>', '<*>')",1
E212,"('<*>', '<*>', '<*>', 'Finished', 'Flush', '<*>', '<*>', '<*>', '<*>')",1
E213,"('<*>', '<*>', '<*>', 'Started', 'Daily', '<*>', '<*>', '<*>', '<*>')",1
E214,"('<*>', '<*>', '<*>', 'auto-activating', 'connection', '<*>', 'connection', '<*>', '<*>')",1
E215,"('<*>', '<*>', '<*>', '(eth_external):', 'state', '<*>', '<*>', '<*>', '<*>')",1
E216,"('<*>', '<*>', '<*>', '[Program', '<*>', '<*>', '<*>', '<*>', '<*>')",2
E217,"('<*>', '<*>', '<*>', '-', 'OS', '<*>', 'CodeName', '<*>', '<*>')",1
E218,"('<*>', '<*>', '<*>', '/usr/share/mrt.xlapi-nb/xlapi-nb.pre-up', 'context=_setup', '<*>', 'start', '<*>', '<*>')",1
E219,"('<*>', '<*>', '<*>', '[ConnectionOptimizerService', '<*>', '<*>', '<*>', '<*>', '<*>')",1
E220,"('<*>', '<*>', '<*>', 'info:', 'Getting', '<*>', 'checksum', '<*>', '<*>')",1
E221,"('<*>', '<*>', '<*>', 'Socket', 'Host', '<*>', 'running', '<*>', '<*>')",1
E222,"('<*>', '<*>', '<*>', '<*>', 'start', '<*>', 'Server', '<*>', '<*>')",1
E223,"('<*>', '<*>', '<*>', '-', 'call', '<*>', '<*>', '<*>', '<*>')",1
E224,"('<*>', '<*>', '<*>', '[EngineCommander', '<*>', '<*>', 'Engine', '<*>', '<*>')",1
E225,"('<*>', '<*>', '<*>', 'file:', 'No', '<*>', 'file', '<*>', '<*>')",1
E226,"('<*>', '<*>', '<*>', '<*>', 'platform', 'does', '<*>', 'support', '[LTR]')",1
E227,"('<*>', '<*>', '<*>', '<*>', 'Intel(R)', 'Gigabit', '<*>', 'Network', 'Connection')",1
E228,"('<*>', '<*>', '<*>', '<*>', '<*>', 'max', '<*>', '<*>', 'free.')",1
E229,"('<*>', '<*>', '<*>', '<*>', 'PCI-Express:', 'Speed', '<*>', 'Width', '<*>')",1
E230,"('<*>', '<*>', '<*>', '<*>', 'msg=""containerd', 'successfully', '<*>', 'in', '<*>')",1
E231,"('<*>', '<*>', '<*>', '<*>', 'on', 'initctl', '<*>', 'Named', 'Pipe.')",1
E232,"('<*>', '<*>', '<*>', '<*>', '<*>', 'related', '<*>', 'process', 'started.')",1
E233,"('<*>', '<*>', '<*>', '<*>', '------', 'Installation', '<*>', 'starting', '------')",1
E234,"('<*>', '<*>', '<*>', '<*>', 'for', 'shell', '<*>', 'in', '/docker-entrypoint.d/')",1
E235,"('<*>', '<*>', '<*>', '<*>', 'takes', '<*>', '<*>', 'to', '<*>')",1
E236,"('<*>', '<*>', '<*>', '<*>', 'trace', 'from', '<*>', 'location', '<*>')",1
E237,"('pci_bus', '<*>', '<*>', 'root', 'bus', 'resource', '[io', '<*>', 'window]')",4
E238,"('pci_bus', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",12
E239,"('pci', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",46
E240,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",3
E241,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'to', '<*>')",1
E242,"('<*>', '<*>', '<*>', '<*>', '<*>', 'starting', '<*>', ""'eth_internal'"", '<*>')",1
E243,"('<*>', '<*>', '<*>', '<*>', '<*>', 'starting', '<*>', '<*>', '<*>')",1
E244,"('<*>', '<*>', '<*>', '<*>', '<*>', 'ready', '<*>', 'start', '<*>')",1
E245,"('<*>', '<*>', '<*>', '<*>', '<*>', 'INFO', '<*>', 'Loading', '<*>')",1
E246,"('<*>', '<*>', '<*>', '<*>', '<*>', 'DEBUG:', '<*>', 'to', '<*>')",1
E247,"('pci', '<*>', '<*>', '<*>', 'PME#', 'supported', 'from', '<*>', '<*>')",2
E248,"('<*>', '<*>', 'Interrupt', '<*>', '<*>', 'configured', '<*>', '<*>', '<*>')",8
E249,"('<*>', '<*>', '<*>', '<*>', '<*>', 'could', '<*>', '<*>', 'reserved')",3
E250,"('<*>', '<*>', '<*>', '<*>', '<*>', 'configured', '<*>', '<*>', '<*>')",3
E251,"('<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'AuKernelGat)')",3
E252,"('RAPL', 'PMU:', '<*>', 'unit', '<*>', '<*>', 'package', '<*>', '<*>')",1
E253,"('[RsInstallationService.MAIN]', 'INFO', '<*>', '-', '<*>', '<*>', ""--showformat='${Package}'"", '<*>', '<*>')",2
E254,"('pcieport', '<*>', '<*>', '<*>', 'PME:', 'Signaling', 'with', 'IRQ', '<*>')",5
E255,"('pcieport', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",4
E256,"('usb', '<*>', 'New', 'USB', 'device', 'strings:', '<*>', '<*>', '<*>')",33
E257,"('Queued', 'start', 'job', 'for', 'default', 'target', '<*>', '<*>', 'Target.')",8
E258,"('BTRFS', 'info', '(device', 'sda2):', 'disk', 'space', 'caching', 'is', 'enabled')",2
E259,"('Runtime', 'Journal', '<*>', 'is', '<*>', 'max', '<*>', '<*>', 'free.')",2
E260,"('<*>', 'Scheduled', 'restart', 'job,', 'restart', 'counter', 'is', 'at', '<*>')",2
E261,"('cmx_mb_bh7', '<*>', '<*>', '<*>', 'enabling', 'device', '<*>', '->', '<*>')",1
E262,"('pci', '<*>', '==>', 'start:', '<*>', 'length:', '<*>', 'flags:', '<*>')",10
E263,"('<*>', '<*>', '<*>', '<*>', 'enabling', 'device', '<*>', '->', '<*>')",4
E264,"('cmx_au', '<*>', '<*>', '<*>', 'enabling', 'device', '<*>', '->', '<*>')",3
E265,"('to', 'make', 'sure', 'that', 'you', 'have', '<*>', 'latest', 'version.')",2
E266,"('(WW)', 'warning,', '(EE)', 'error,', '(NI)', 'not', '<*>', '(??)', 'unknown.')",2
E267,"('(++)', 'from', 'command', 'line,', '(!!)', 'notice,', '(II)', 'informational,', '')",2
E268,"('<info>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>')",3
E269,"('Acquired', 'the', 'name', 'org.freedesktop.UDisks2', 'on', 'the', 'system', 'message', 'bus')",1
E270,"('<*>', '<*>', '<*>', '<*>', 'msg=""Get', 'image', 'filesystem', 'path', '\\""/var/lib/containerd/io.containerd.snapshotter.v1.overlayfs\\""""')",1
E271,"('<*>', '<*>', 'get', '<*>', 'PTY:', 'No', 'machine', ""'mrt-chromium'"", 'known')",1
E272,"('<*>', '<*>', 'INFO', '<*>', '-', 'InstallationServiceApp', 'v', '<*>', '<*>')",1
