EventId, Occurrences, EventTemplate
E198, 2, QUERY DEFAULT
E199, 5, max_cycles: max_idle_ns: ns
E200, 5, No file directory
E201, 1, Built zonelists mobility grouping on. Total pages:
E202, 1, Welcome Poky Yocto Project Reference Distro
E203, 1, System.InvalidOperationException: was modified; enumeration operation may not
E204, 1, AML tables acquired
E205, 1, GPEs in
E206, 1, vgaarb: as
E207, 1, 0xffffff max_cycles: max_idle_ns:
E208, 1, Attached
E209, 1, amdgpu: VBIOS
E210, 1, values
E211, 1, Listening Database
E212, 1, Finished Flush
E213, 1, Started Daily
E214, 1, auto-activating connection connection
E215, 1, eth_external : state
E216, 2, Program
E217, 1, - OS CodeName
E218, 1, /usr/share/mrt.xlapi-nb/xlapi-nb.pre-up context=_setup start
E219, 1, ConnectionOptimizerService
E220, 1, info: Getting checksum
E221, 1, Socket Host running
E222, 1, start Server
E223, 1, - call
E224, 1, EngineCommander Engine
E225, 1, file: No file
E226, 1, platform does support LTR
E227, 1, Intel R Gigabit Network Connection
E228, 1, max free.
E229, 1, PCI-Express: Speed Width
E230, 1, msg= containerd successfully in
E231, 1, on initctl Named Pipe.
E232, 1, related process started.
E233, 1, ------ Installation starting ------
E234, 1, for shell in /docker-entrypoint.d/
E235, 1, takes to
E236, 1, trace from location
E237, 4, pci_bus root bus resource io window
E238, 12, pci_bus
E239, 46, pci
E240, 3, 
E241, 1, to
E242, 1, starting eth_internal
E243, 1, starting
E244, 1, ready start
E245, 1, INFO Loading
E246, 1, DEBUG: to
E247, 2, pci PME# supported from
E248, 8, Interrupt configured
E249, 3, could reserved
E250, 3, configured
E251, 3, AuKernelGat
E252, 1, RAPL PMU: unit package
E253, 2, RsInstallationService.MAIN INFO - --showformat= $ Package
E254, 5, pcieport PME: Signaling with IRQ
E255, 4, pcieport
E256, 33, usb New USB device strings:
E257, 8, Queued start job for default target Target.
E258, 2, BTRFS info device sda2 : disk space caching is enabled
E259, 2, Runtime Journal is max free.
E260, 2, Scheduled restart job restart counter is at
E261, 1, cmx_mb_bh7 enabling device -
E262, 10, pci == start: length: flags:
E263, 4, enabling device -
E264, 3, cmx_au enabling device -
E265, 2, to make sure that you have latest version.
E266, 2, WW warning EE error NI not ?? unknown.
E267, 2, ++ from command line !! notice II informational
E268, 3, info
E269, 1, Acquired the name org.freedesktop.UDisks2 on the system message bus
E270, 1, msg= Get image filesystem path \\ /var/lib/containerd/io.containerd.snapshotter.v1.overlayfs\\
E271, 1, get PTY: No machine mrt-chromium known
E272, 1, INFO - InstallationServiceApp v
E273, 1, msg= Docker daemon commit=906f57ff5b-unsupported graphdriver s =overlay2
E274, 45, session : session opened for user by
E275, 12, pam_warn systemd-user: setcred : function= pam_sm_setcred service= systemd-user terminal= unknown ruser= unknown rhost= unknown
E276, 4, OK
E277, 6, RsInstallationService.MAIN INFO RohdeSchwarz.AptAbstractionLib.CommandLineExecutor - Duration :
E278, 1, RsInstallationService.MAIN INFO RohdeSchwarz.InstallationServiceLib.ServiceManagerWrapper - Notifying service state: STATUS=Starting up
E279, 12122, Worker running at:
E280, 15, level=info msg= loading plugin runtime=io.containerd.runc.v2
E281, 400, DeviceApiSubscriber DEBUG:
E282, 1, cmseq | Completed imports in CMsequencer starter in
E283, 2, RsInstallationService.MAIN INFO - Initializing meta data DB /opt/rohde-schwarz/installation-service/Database/MetaData.db
E284, 18, .NET ThreadPool Worker INFO -
E285, 5, Progress: Finish is waiting for: Drivers InstrumentSetupManager Startup
E286, 122, INFO
E287, 5, Data channel error
E288, 5, - Started resource:
E289, 20, addr: / val:
E290, 20, to register addr: / value:
E291, 9, Remote access from client
E292, 4, channel normally closed or due to unexpected data .
E293, 79, PIAS: R&S SWPL START DATA CHANNEL
E294, 38, PIAS: Illegal parameter value;Device not
E295, 31, Accepted password for root from port
E296, 37, Session logged out. Waiting for processes to exit.
E297, 15, pam_systemd sshd: session : Failed to release session: Interrupted system call
E298, 10, 
E299, 1, max size:
E300, 1, Max packages:
E301, 1, Added Aggregator
E302, 1, Linux
E303, 1, EHCI platform
E304, 1, OHCI platform
E305, 1, USB core
E306, 1, target Port
E307, 1, amdgpu modesetting
E308, 1, microsemi endpoint
E309, 1, Service
E310, 1, config:
E311, 1, | /opt/rohde-schwarz/cmsequencer/install/util_python:
E312, 1, Startup:
E313, 1, Info:
E314, 1, CMWBase:
E315, 1, dfa:
E316, 1, Remote:
E317, 1, LISelect:
E318, 1, MassMemory:
E319, 1, Setup:
E320, 1, iq_setup:
E321, 1, Logger
E322, 1, PPS at
E323, 1, Selftest:
E324, 1, gprf_meas:
E325, 1, gprf_gen:
E326, 1, sfa_mmi:
E327, 1, sfa:
E328, 1, dut_mmi:
E329, 1, data:
E330, 1, datascpi:
E331, 1, dnsmonitor:
E332, 1, measscpi_mmi:
E333, 1, wlan_sig_scpi_mmi:
E334, 1, Connected LinuxPTP
E335, 1, BIOS-provided physical map:
E336, 1, ACPI: PM-Timer Port:
E337, 1, Console: colour device
E338, 1, pid_max: default: minimum:
E339, 1, raid6: using recovery
E340, 1, ACPI: Added _SCP
E341, 1, iommu: Default type:
E342, 1, Copyright c Intel
E343, 1, i2c_dev: entries
E344, 1, hv_utils: Registering Utility
E345, 1, Run /init init
E346, 1, Running in
E347, 1, drm Detected
E348, 1, drm PTB at
E349, 1, Started PC/SC Card
E350, 1, Started MRT Band
E351, 1, udisks daemon
E352, 1, no packages matching
E353, 1, Attaching to
E354, 1, Progress: Option
E355, 1, Progress: product
E356, 1, Progress: element
E357, 1, Watching parent PID
E358, 1, No
E359, 1, PIAS:
E360, 2, ACPI NVS
E361, 1, volatile /var/cache...
E362, 1, volatile /var/lib...
E363, 1, volatile /var/spool...
E364, 1, volatile /srv...
E365, 1, Calculation Service...
E366, 1, Optimizer Service...
E367, 1, Callysto Service...
E368, 1, system ...
E369, 1, Optimizer Service.
E370, 1, Calculation Service.
E371, 3, report socket
E372, 1, Callysto Service.
E373, 1, is decided
E374, 1, system ongoing
E375, 1, failed:
E376, 1, mem type
E377, 1, NX Execute Disable protection: active
E378, 1, Btrfs loaded crc32c=crc32c-generic zoned=no fsverity=no
E379, 1, RefLd!do_initialize_hw: Flex primary or standalone
E380, 1, tsc: Detected
E381, 3, Intel R
E382, 1, Closed Process
E383, 2, Loading rules
E384, 3, info
E385, 12, Progress:
E386, 1, TSS: AST
E387, 1, Queued ast2sys@pps1.service
E388, 1, Queued ptp4l@primary.service
E389, 1, Queued phc2sys@primary.service
E390, 1, mem
E391, 7, Created User
E392, 5, Removed User
E393, 1, Preemptible hierarchical RCU implementation.
E394, 1, SMP alternatives memory:
E395, 1, Booting SMP configuration:
E396, 1, Read-only LZX/Xpress compression included
E397, 1, Variables Facility
E398, 1, OAM IOAM with
E399, 1, Microcode Update Driver:
E400, 1, RAM width
E401, 1, forcing connector off
E402, 1, rspias Debian Package Installer .
E403, 1, on AgentX master support.
E404, 1, operation mode to: Primary
E405, 1, interrupt took ns
E406, 1, Error: invalid command HEAD !
E407, 1, RohdeSchwarz.CMXthallo.MarsInterface.UeCapabilities.MessageLogUeCaps.PrepareData Boolean setupSummary Boolean setupBands
E408, 1, due to unexpected data .
E409, 1, RohdeSchwarz.Framework.Plugin.API.Core.PluginManager.ServiceManager.DeleteService TServiceInterface String key Object parameters
E410, 6, NET: Registered protocol family
E411, 1, initializing netlink
E412, 2, bus type
E413, 1, Registered udp
E414, 1, amd_df
E415, 1, amd_l3
E416, 1, Max link
E417, 2, button: Power
E418, 2, Mount snapshot
E419, 1, register mmio
E420, 1, file fmt
E421, 2, IPv6 Packet
E422, 2, IPv4 Packet
E423, 2, MRT Primary
E424, 2, Cleanup stale
E425, 1, Network Manager
E426, 2, running on
E427, 1, configuration file
E428, 2, encrypted with
E429, 1, Begin
E430, 1, : get_instance
E431, 1, End
E432, 1, trigger item
E433, 2, Time &
E434, 2, accessor: defaultOnlineTable
E435, 2, thermal_sys: thermal governor
E436, 1, RPC: tcp transport
E437, 1, drm mmio size:
E438, 1, Starting Import Export
E439, 1, Started Import Export
E440, 2, Service /services/rs-installation-service.service successfully
E441, 2, failed load driver:
E442, 1, jitter : JITTER rng
E443, 1, Creating event log
E444, 1, Created event log
E445, 2, Generated folder directory:
E446, 2, ACPI:
E447, 1, RsInstallationService.MAIN
E448, 2, clocksource:
E449, 1, Journal Socket.
E450, 4, udev Socket.
E451, 2, of
E452, 1, Listening on Journal Socket /dev/log .
E453, 3, Mounting Kernel File System...
E454, 17, Starting
E455, 5, Coldplug All udev
E456, 5, Automatic Boot Loader
E457, 5, get_block_handle_mic result is:
E458, 3, Mounted Kernel File System.
E459, 14, Finished
E460, 16, Reached target
E461, 10, Stopped target
E462, 10, pci == flags:
E463, 1, MB reports slot number
E464, 3, AU reports slot number
E465, 3, D-Bus System Message
E466, 22, Server version
E467, 4, has been
E468, 1, rdrand : Enabling RDSEED rng support
E469, 7, Successfully activated
E470, 21, 
E471, 2, == Using config directory: /etc/X11/xorg.conf.d
E472, 2, hub ports detected
E473, 2, Started
E474, 3, Configuration read from file
E475, 22, Running CMXmarsServer as process.
E476, 24, User Runtime Directory
E477, 58, audit:
E478, 2991, Failed with result
E479, 1, OK Mounted /var/volatile.
E480, 1, info manager: startup complete
E481, 2, ignoring key shortcut
E482, 1, veth37c5ffa entered promiscuous
E483, 1, entered promiscuous
E484, 1, vethb15faec entered promiscuous
E485, 22, Now listening on: http:
E486, 1, R&S
E487, 2, ERROR
E488, 44, --- CONFIG GIGABIT CHANNEL ---
E489, 1, cmseq | Started in
E490, 1, avahi bsw: Adding service
E491, 1829, Started OpenSSH Per-Connection Daemon
E492, 1, TSS: Detected change of CLOCK_REALTIME!
E493, 102, in hardware_element_from_pdef slot base:
E494, 101, TSS: No PTP nodes connected.
E495, 18, verbose=False no_base_registration=False
E496, 144, PIAS: __SWP_Tool__ \\n
E497, 167, PIAS:
E498, 885, PIAS: socket normally closed.
E499, 81, Re-init accessor: ==
E500, 26, PIAS: PIAS connection established!
E501, 5, Reached target Exit the Session.
E502, 8, Handle
E503, 8, fs
E504, 8, RFmin
E505, 8, RFmax
E506, 8, RF
E507, 8, BW
E508, 1, xstate features context size using compacted format.
E509, 1, : / SpectreRSB on context switch
E510, 1, Some PCI resources booting with pci=realloc
E511, 1, label root devid transid by mount
E512, 1, not explicitly. Should already installing BASE services
E513, 1, Address for 1G_Serdes from Eeprom: bf
E514, 1, Start Jupyter Notebook controller: rs_callysto.notebook_server_controller.XlapiNbDockerController context=_setup
E515, 2, extending delay after power-on msec
E516, 2, was skipped because of ConditionDirectoryNotEmpty=/sys/fs/pstore .
E517, 1, Wi-Fi radio file
E518, 1, WWAN radio file
E519, 1, MSI-X interrupts. rx queue s tx queue s
E520, 1, level=info msg= Build
E521, 1, BOX_COUNT PREV_ENA NEXT_ENA
E522, 1, Direct-Access ATA PQ: ANSI:
E523, 1, sda blocks:
E524, 1, : fe1d: on
E525, 1, : feb6: on
E526, 1, count:
E527, 10, was skipped because of a failed condition check
E528, 3, Configuration file is marked executable. Please remove executable permission bits. Proceeding anyway.
E529, 1, drm Found VCN firmware Version ENC: DEC: VEP: Revision:
E530, 2, optional ta ucode available
E531, 1, : Optimizer Service
E532, 2, comm= cmxtoolssupport
E533, 40, info device state change: - reason sys-iface-state:
E534, 1, b8ff: eth_internal. .
E535, 1, unmanaged reason unmanaged removed
E536, 1, beff: fe7c:
E537, 1, aff: fec2: bffc vethb15faec. .
E538, 1, Service state: Start
E539, 1, Registering new address record for : on eth_external. .
E540, 2, level=info msg= scheme \\ unix\\ not registered fallback to default scheme module=grpc
E541, 1, Connected to machine mrt-chromium. Press ^ three times within to exit session.
E542, 58, ACK from : fe0b: b5bf%eth_internal : after microseconds
E543, 1, ConnectionOptimizerService INFO : Creating Connection Optimizer Service @
E544, 1, DeviceApiSubscriber DEBUG: ProgressInfo: Detect model and licensing ...
E545, 5, DeviceApiSubscriber DEBUG: ProgressInfo: Loading and Initializing Drivers
E546, 1, micDeviceName=/dev/rsmic0 fwuFpgaDpsw=cmx_mb_fpga.xdpsw fwuMicDpsw=cmx_mb_mic.dpsw boardName=MBCMX2 combinedSlot=A001400
E547, 1, Ignoring AST offset since it less than 5ms!
E548, 1, Nr Connect to the Interface. does not Respond
E549, 9, info PyInstaller _MEIPASS = None gwss.gwss_server.cli key=MEIPASS value=None
E550, 18, INFO __init__.__init__: Logging initialized with logging level
E551, 18, INFO __init__._initmd: Initializing default broker with tcp:
E552, 18, INFO __init__._prepare_recordingdirectories: Opened _file_handle _io.TextIOWrapper mode= w
E553, 1, DeviceApiSubscriber INFO : Loading MRT with physical connectors
E554, 1, DeviceApiSubscriber INFO : Loading License with hardware configuration
E555, 1, DeviceApiSubscriber INFO : Loading DUT with DUT Connectors
E556, 10, DeviceApiSubscriber DEBUG: License service hardware detected: CMX UNIT
E557, 8, info Received SIGTERM set stop event prettypb.stoppable_server prepare_setup=GsmWcdmaServicer
E558, 16, INFO drift_recorder_playback._run: Logging Queue received None - stopping
E559, 3, ERROR: Caught exception while processing cell add/update Cell is missing rach_config_common
E560, 4, Remote access from client
E561, 6, PIAS: DIAG: PIAS: SCAN? EXTERN DEFAULT
E562, 5, value : lifetimeAfterDone : value : response :
E563, 14, .NET ThreadPool Worker INFO -
E564, 29, INFO RohdeSchwarz.DapiAbstractionLib.GetPackagesOperationServer - Leave: GetSliceOfPackageDataList start index package returned
E565, 17, mem
E566, 1, FACS
E567, 1, memory node
E568, 1, bit width:
E569, 1, value mask:
E570, 1, max period:
E571, 1, fixed-purpose events:
E572, 1, memory driver
E573, 1, probing for
E574, 1, Registered protocols
E575, 1, XFRM netlink
E576, 1, network logging
E577, 1, is tainted:
E578, 18, 
E579, 1, couldn t be
E580, 1, trigger shadow
E581, 1, dropped root
E582, 1, dropped remaining
E583, 1, interface enumeration
E584, 1, crng
E585, 1, no process
E586, 1, Battery Measurement
E587, 1, started. Version:
E588, 1, cmxreporting_default not
E589, 1, Starting system
E590, 1, target Graphical
E591, 1, Processing
E592, 1, Assigning
E593, 1, Calculating
E594, 1, initialized to
E595, 1, OCXO is
E596, 2, configuration from
E597, 1, logging to
E598, 1, presence of
E599, 1, invalid command
E600, 8, node
E601, 2, printk: console
E602, 1, ACPI: Added
E603, 1, Linux agpgart
E604, 23, Reached target
E605, 1, Stopped target
E606, 1, Starting Avahi
E607, 1, Started Avahi
E608, 2, X.Org X
E609, 1, Starting containerd
E610, 1, Started containerd
E611, 1, Starting RS
E612, 1, Started RS
E613, 1, docker.rsint.net/rs_mrt-tools-docker/sequencer/cmsequencer-fw-server:
E614, 2, Added
E615, 1, Adding
E616, 1, Added
E617, 2, ACPI:
E618, 1, Spectre : Vulnerable
E619, 2, ...
E620, 1, Hierarchical SRCU implementation.
E621, 1, using governor menu
E622, 1, clock support registered
E623, 1, Intel Corporation.
E624, 1, to initialize ptp_kvm
E625, 1, Routing with
E626, 1, shorthand broadcast: enabled
E627, 1, ATOM BIOS:
E628, 1, tab revision
E629, 1, format revision
E630, 1, starting up.
E631, 1, NOT check signatures
E632, 1, application facet succesfully
E633, 1, fake service started
E634, 1, Dir = /usr/lib/battery_meas_service/
E635, 1, to unexpected data .
E636, 1, libata
E637, 1, cmxrep-rtia:
E638, 1, cmxrep-liveview-sockethost:
E639, 1, cmxrep-liveview-app:
E640, 1, RpcBrokerTransport:
E641, 1, MessageBrokerPullTransport:
E642, 1, MessageBrokerXPubTransport:
E643, 1, such
E644, 1, pnp: PnP init
E645, 1, Setting hostname
E646, 2, + ??? xuser
E647, 1, workingset:
E648, 1, dei temperature
E649, 1, hwrng : Initialization Failed
E650, 1, Installed transient /etc/machine-id file.
E651, 1, LI calculation: use
E652, 5, Key type
E653, 5, Finished Exit
E654, 3, io scheduler
E655, 3, Hostname set
E656, 1, Mounting Mount
E657, 1, Mounted Mount
E658, 3, eth0: renamed
E659, 6, hv_vmbus: registering
E660, 2, : socket
E661, 4, socket
E662, 18, usb
E663, 2, gpg:
E664, 6, Created
E665, 16, Handle
E666, 16, fs
E667, 16, RFmin
E668, 16, RFmax
E669, 1, Listening on Journal Socket.
E670, 4, Temporary Directory
E671, 1, Restoring
E672, 11, Starting
E673, 8, Finished
E674, 12, Stopped
E675, 2, Closed
E676, 7, Startup
E677, 2, Mounting Mount directory...
E678, 2, Mounted Mount directory.
E679, 4, PCI INIT driver
E680, 10, Started
E681, 1, Loading
E682, 1, jitter :
E683, 10, kauditd_printk_skb: callbacks suppressed
E684, 26, Get for
E685, 13, Create
E686, 16, MCh
E687, 16, CNCO
E688, 7, WARNING: Attempting instead
E689, 24, Content root path:
E690, 1, Using configuration file /opt/rohde-schwarz/license-server/var/rohde-schwarz/license-server/config/RsLicenseServerApp.json
E691, 88, config_generic_gigabit_channel_link : access is clear_update_write
E692, 4, ... done
E693, 4, checking licenses..
E694, 4, log files...
E695, 4, log files.
E696, 91, Progress:
E697, 5, avahi bsw: MIC
E698, 1, CMPX_MB_LD: Created MbFpgaHwImpl object
E699, 4, COR DOWNLOAD STARTED
E700, 4, COR read ms
E701, 1, TSS: AST synchronization started
E702, 9, Press CTRL+C to shutdown
E703, 9, Press ^C to exit
E704, 18, PyInstaller _MEI directory save_recall
E705, 809, PIAS:
E706, 2, QUERY ID DEFAULT
E707, 2, 
E708, 3, Server file path:
E709, 16, Carriers TRXID
E710, 24, RF
E711, 24, BW
E712, 1, American Megatrends
E713, 1, IPSX4_TS_CMP/IPSX4_TS_CMP
E714, 1, TSC PIT
E715, 1, ALASKA
E716, 1, start each node
E717, 1, node mem
E718, 1, routing physical flat.
E719, 1, up CPUs ...
E720, 1, API registered
E721, 1, Gigabit Network Driver
E722, 1, configured default hostname.
E723, 1, from systemd .
E724, 1, GART enabled.
E725, 1, Core
E726, 1, running
E727, 1, status:
E728, 1, power driver
E729, 1, open Invalid argument
E730, 1, listening DeviceGroup: DEFAULT
E731, 1, msg= Starting up
E732, 1, w f:
E733, 1, Running Docker: true
E734, 1, Wait Option Poll
E735, 1, bus successfully configured
E736, 2, last_pfn max_arch_pfn
E737, 2, == config
E738, 1, info management
E739, 2, Successful xuser
E740, 1, Battery is
E741, 4, RepositoryStatusMonitor -
E742, 1, GB pages direct mapping
E743, 1, Early table verification disabled
E744, 1, HPET id: base:
E745, 1, paravirtualized kernel bare hardware
E746, 1, Adjusting geometry
E747, 1, PM: supports
E748, 1, version Phillip Lougher
E749, 1, Registering the key type
E750, 1, mode is
E751, 1, EFI VGA buffer device
E752, 1, crash compression: deflate
E753, 1, max
E754, 1, find EFI partition skipping.
E755, 1, hwmgr_sw_init smu is smu10_smu
E756, 1, microsemi device registered.
E757, 1, Watch chromium installation.
E758, 1, Hardware RNG Gatherer Daemon.
E759, 1, enabl /swapspace/swapfile
E760, 1, prometheus metrics port:
E761, 1, done. Ready receive requests.
E762, 1, Unit LD been started.
E763, 1, group file changed reloading.
E764, 1, or due unexpected data .
E765, 1, Secure boot could be determined
E766, 1, ACPI: LAPIC_NMI acpi_id 0xff edge lint 0x1
E767, 1, pcpu-alloc:
E768, 1, PNP: No controller found.
E769, 1, acpi_cpufreq: overriding BIOS _PSD data
E770, 1, xinit: connection to server lost
E771, 1, Utilization of resources Basic recording
E772, 1, Traceback most recent last :
E773, 1, end CRrhControllerService: :
E774, 1, at System.Linq.Enumerable.SelectIterator TSource selector +MoveNext
E775, 1, An error occurred the application
E776, 1, mem
E777, 1, ACPI: Using
E778, 1, PCI: pci_cache_line_size
E779, 1, PCI: CLS
E780, 1, rtc_cmos
E781, 2, Initializing machine
E782, 1, Created slice
E783, 1, Listening on
E784, 2, read microsemi
E785, 2, Started Daily
E786, 1, info
E787, 1156, 
E788, 1, Started R&S
E789, 1, NET-SNMP
E790, 1, Starting Record
E791, 1, RsInstallationService.MAIN INFO
E792, 1, |
E793, 7, Progress:
E794, 1, selected
E795, 1, SLUB:
E796, 1, ..TIMER: vector=0x30
E797, 1, sched_clock: Marking stable
E798, 1, cmx_rfu600: loading out-of-tree module taints kernel.
E799, 3, variant Tasks RCU
E800, 3, Copyright Intel
E801, 3, is to DMA_BIT_MASK_VALUE
